股票代號,股票,淨賣超,收盤價,漲跌%,成交量,當日,累計15日
3624,光頡,-194,-149,44.65,(9.98%),"8,825"
8299,群聯,-193,"3,808",855,(0.59%),"1,606"
2104,國際中橡,-190,-32,10.7,(-0.47%),"1,353"
2520,冠德,-190,"-6,402",33.15,(-0.45%),"2,351"
2360,致茂,-189,-504,656,(-0.91%),"3,042"
6126,信音,-185,"-1,761",30.6,(-2.24%),"1,901"
2530,華建,-182,-138,29.95,(-2.6%),869
1463,強盛新,-180,-574,17.25,(-5.99%),642
3034,聯詠,-180,"-7,060",414,(2.1%),"2,636"
2351,順德,-180,"-3,097",82.2,(0.98%),"1,077"
4973,廣穎,-179,-493,36.45,(-1.88%),"4,742"
4746,台耀,-175,-347,60.7,(-2.41%),646
1514,亞力,-172,466,100.5,(-1.95%),"1,010"
1904,正隆,-172,-93,17.3,(-1.7%),756
3563,牧德,-172,"-1,460",537,(-1.29%),878
5475,德宏,-171,-580,60,(2.56%),"1,067"
2379,瑞昱,-169,18,531,(-0.38%),"1,713"
6461,益得,-169,-328,17.3,(-3.62%),545
1102,亞泥,-167,"-1,160",36.9,(0.27%),"1,829"
2451,創見,-167,"-2,284",131,(-1.5%),"6,606"
6691,洋基工程,-166,-246,448.5,(-1.97%),493
1231,聯華食,-164,"-1,972",113,(-2.59%),444
2387,精元,-164,"-1,796",42.9,(-0.81%),"1,073"
3413,京鼎,-164,-753,325,(1.09%),"1,433"
4915,致伸,-161,"-3,351",76.4,(0.92%),"1,426"
1584,精剛,-160,-69,23.3,(-1.48%),895
6533,晶心科,-158,"-1,186",276,(0.18%),540
4714,永捷,-154,"-6,541",19.4,(1.31%),"2,678"
3685,元創精密,-152,"-1,148",42.5,(-1.51%),"1,251"
6919,康霈*,-152,"-1,102",159,(-1.85%),"4,906"
3221,台嘉碩,-150,-661,25.05,(9.63%),"5,582"
2010,春源,-149,"-2,710",19.45,(-0.26%),"1,089"
2201,裕隆,-149,"-2,043",32.7,(-0.61%),"1,444"
2393,億光,-147,309,61.8,(-1.44%),"1,056"
1711,永光,-146,"-2,895",19,(-0.26%),"2,422"
8249,菱光,-146,-692,55.5,(2.02%),"2,204"
1449,佳和,-145,"-1,338",11.7,(-1.68%),594
3545,敦泰,-145,"-2,911",60.8,(-1.14%),"1,012"
6221,晉泰,-144,-122,53.4,(-2.02%),722
8059,凱碩,-142,"-1,574",24.5,(-1.41%),750
1451,年興,-141,-290,17.15,(-0.58%),415
5508,永信建,-141,"-3,439",75.7,(-1.94%),621
2607,榮運,-139,-162,56.9,(-1.9%),"1,183"
4147,中裕,-139,"-1,386",72.3,(-1.63%),692
2034,允強,-137,"-2,718",20,(-0.99%),975
8076,伍豐,-137,-601,24.7,(-0.6%),578
5274,信驊,-135,10,5330,(-5.24%),418
3051,力特,-134,"-1,129",20.2,(-0.98%),764
1616,億泰,-132,"2,010",35.15,(-1.13%),"1,564"
6125,廣運,-132,647,72.2,(-1.37%),956
4726,永昕,-132,-337,34.5,(-2.27%),350
5438,東友,-131,"-1,508",24,(1.69%),"1,094"
4966,譜瑞-KY,-131,182,762,(-0.91%),657
2323,中環,-130,"5,747",9.11,(0%),"1,800"
3029,零壹,-130,"-2,704",112,(0.45%),657
1721,三晃,-129,246,12.4,(-1.2%),514
3466,德晉,-129,"-1,036",44.05,(-2.65%),739
