股票代號,股票,淨買超,收盤價,漲跌%,成交量,當日,累計15日
6138,茂達,201,"1,476",224,(2.52%),864
6806,森崴能源,198,"-1,386",61.3,(0.66%),"1,925"
2355,敬鵬,197,-372,33.45,(0.6%),"1,629"
3059,華晶科,197,-211,48.3,(2.33%),"4,424"
3019,亞光,196,-213,149,(1.71%),"2,075"
2204,中華,195,-421,60.4,(1.51%),959
3363,上詮,193,"-2,347",358.5,(3.61%),"5,874"
1216,統一,192,"-1,641",78.7,(0.64%),"3,686"
6005,群益證,191,"6,022",25.1,(1.01%),"8,571"
2436,偉詮電,189,112,51.5,(2.59%),"1,211"
3055,蔚華科,189,506,60.7,(2.36%),535
5512,力麒,189,-860,8.72,(0.23%),"1,167"
1319,東陽,185,"-3,283",92.7,(1.42%),"1,350"
2881,富邦金,184,"30,734",89.1,(-0.45%),"9,496"
8047,星雲,181,558,43.6,(9.96%),942
2855,統一證,180,"6,397",23.95,(0.63%),"2,670"
8033,雷虎,175,"-8,239",128,(-3.76%),"1,555"
3443,創意,171,"2,422",1525,(2.01%),"2,833"
6805,富世達,171,"1,511",1200,(1.27%),"2,006"
2915,潤泰全,165,"-1,631",52.7,(0.96%),"1,215"
3294,英濟,158,-559,42.5,(-0.23%),"1,207"
6163,華電網,155,"1,439",22.55,(3.44%),850
2376,技嘉,152,"8,199",285,(2.33%),"3,538"
2365,昆盈,151,-140,38.4,(-0.39%),"1,028"
3135,凌航,151,"-2,401",45,(-0.22%),"1,355"
6202,盛群,151,-199,40.7,(0%),864
2049,上銀,148,214,211,(1.44%),"1,313"
2328,廣宇,148,"-8,513",55.8,(2.57%),"24,379"
4526,東台,145,-187,32.85,(1.08%),"1,478"
6862,三集瑞-KY,145,54,182.5,(9.94%),762
2610,華航,144,"-17,937",21,(-0.24%),"11,431"
3645,達邁,143,-330,60.2,(0.5%),"1,205"
5243,乙盛-KY,138,107,76.2,(2.42%),"1,902"
1733,五鼎,136,"1,253",35.75,(4.23%),"1,261"
6733,博晟生醫,136,176,44.5,(1.37%),537
3025,星通,135,239,46.95,(1.84%),482
8996,高力,131,"14,316",529,(-2.58%),"2,104"
3390,旭軟,130,201,23.7,(9.98%),"4,271"
1409,新纖,129,-21,13.35,(0.38%),"2,222"
6161,捷波,129,114,56.8,(3.46%),924
2441,超豐,128,"2,228",67.5,(1.2%),"2,274"
4912,聯德控股-KY,127,109,88.3,(9.96%),858
2882,國泰金,125,"11,653",65.3,(0.15%),"8,345"
2258,鴻華先進-創,123,-206,38.75,(1.44%),505
3605,宏致,122,"-1,384",68,(0.15%),"1,234"
6541,泰福-KY,122,-670,60,(-2.44%),"1,235"
1611,中電,121,432,13.15,(0.38%),435
6492,生華科,121,399,48.25,(9.91%),666
3045,台灣大,120,"10,876",111.5,(0%),"6,188"
8016,矽創,119,-142,215.5,(2.62%),581
1524,耿鼎,117,"-1,832",27.65,(4.34%),"1,368"
3406,玉晶光,116,37,421.5,(1.08%),580
2851,中再保,115,"1,325",24.55,(0%),"1,093"
6104,創惟,115,"-1,055",111.5,(1.83%),508
5009,榮剛,115,"1,222",36.15,(0.14%),"1,089"
3437,榮創,114,246,15.85,(2.92%),719
1570,力肯,113,"-1,627",32.3,(1.25%),"1,833"
2903,遠百,113,"-2,320",22.15,(0.91%),"1,904"
3062,建漢,111,564,24.2,(0.83%),"1,824"
9910,豐泰,110,"2,987",133,(3.91%),"1,354"
6180,橘子,109,41,61.5,(0.99%),370
6275,元山,109,-158,44.55,(3.36%),683
6558,興能高,108,109,41.4,(0.98%),646
6207,雷科,108,-123,53.4,(2.1%),600
6875,國邑*,108,232,59.2,(9.83%),913
3630,新鉅科,106,-989,31.45,(1.13%),608
6535,順藥,106,-132,296.5,(2.24%),789
3673,TPK-KY,105,479,37.2,(1.09%),551
3015,全漢,104,105,55.2,(1.66%),295
5864,致和證,104,19,14.75,(1.72%),"1,316"
2362,藍天,103,-152,40.1,(2.43%),466
6204,艾華,102,115,80.1,(9.88%),"1,715"
6823,濾能,100,80,70,(9.89%),661
3712,永崴投控,99,-896,39.95,(2.7%),"3,113"
6278,台表科,96,-787,107,(0.94%),"1,762"
6415,矽力*-KY,96,"-3,889",235,(2.62%),"3,122"
6177,達麗,95,"-2,536",48.15,(1.26%),599
8183,精星,95,-197,30.05,(2.39%),352
3002,歐格,93,-570,25,(4.82%),"7,899"
3031,佰鴻,93,652,21.5,(1.65%),352
